Id,Genre,Title,Author,Purchase,Member
534,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,19/03/1970,
535,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,05/07/1970,
536,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,12/07/1970,
537,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,23/07/1970,
538,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,25/07/1970,
539,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,31/07/1970,
540,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,10/08/1970,
541,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,08/09/1970,
542,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,08/11/1970,
543,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,15/11/1970,
544,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,15/12/1970,
545,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,03/01/1971,
546,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,09/02/1971,
547,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,18/03/1971,
548,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,13/04/1971,
549,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,27/05/1971,
550,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,27/06/1971,
551,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,11/08/1971,
552,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,30/09/1971,
553,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,20/10/1971,
554,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,24/10/1971,
555,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,23/01/1972,
556,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,14/02/1972,
557,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,12/03/1972,
558,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,22/03/1972,
559,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,07/04/1972,
560,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,01/07/1972,
561,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,17/08/1972,
562,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,18/08/1972,
563,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,11/10/1972,
564,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,22/10/1972,
565,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,24/10/1972,
566,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,15/11/1972,
567,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,05/01/1973,
568,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,04/04/1973,
569,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,15/04/1973,
570,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,04/08/1973,
571,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,03/09/1973,
572,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,12/09/1973,
573,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,14/09/1973,
574,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,11/10/1973,
575,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,15/10/1973,
576,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,04/11/1973,
577,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,16/11/1973,
578,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,27/11/1973,
579,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,08/12/1973,
580,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,15/12/1973,
581,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,18/01/1974,
582,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,20/01/1974,
583,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,08/06/1974,
584,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,13/07/1974,
585,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,28/11/1974,
586,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,01/12/1974,
587,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,16/01/1975,
588,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,04/05/1975,
589,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,13/05/1975,
590,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,18/05/1975,
591,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,24/05/1975,
592,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,21/06/1975,
593,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,02/08/1975,
594,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,26/09/1975,
595,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,01/10/1975,
596,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,24/10/1975,
597,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,29/11/1975,
598,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,10/12/1975,
599,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,28/12/1975,
600,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,16/01/1976,
601,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,16/02/1976,
602,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,18/02/1976,
603,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,31/03/1976,
604,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,15/04/1976,
605,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,17/04/1976,
606,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,29/06/1976,
607,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,10/07/1976,
608,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,06/08/1976,
609,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,24/10/1976,
610,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,04/11/1976,
611,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,30/11/1976,
612,It,Stephen King,Fantasy;Fiction;Horror,14/12/1976,
613,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,07/02/1977,
614,It,Stephen King,Fantasy;Fiction;Horror,26/02/1977,
615,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,23/03/1977,
616,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,13/04/1977,
617,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,07/05/1977,
618,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,25/06/1977,
619,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,27/06/1977,
620,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,21/07/1977,
621,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,24/07/1977,
622,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,04/09/1977,
623,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,13/10/1977,
624,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,14/11/1977,
625,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,05/12/1977,
626,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,21/12/1977,
627,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,12/01/1978,
628,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,01/02/1978,
629,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,10/02/1978,
630,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,10/03/1978,
631,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,22/03/1978,
632,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,03/04/1978,
633,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,05/05/1978,
634,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,02/06/1978,
635,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,19/06/1978,
636,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,23/07/1978,
637,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,31/07/1978,
638,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,19/10/1978,
639,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,22/10/1978,
640,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,21/11/1978,
641,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,18/03/1979,
642,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,21/03/1979,
643,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,22/03/1979,
644,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,23/03/1979,
645,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,27/04/1979,
646,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,06/05/1979,
647,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,30/05/1979,
648,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,31/07/1979,
649,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,02/08/1979,
650,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,16/08/1979,
651,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,01/11/1979,
652,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,07/11/1979,
653,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,20/07/1980,
654,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,17/08/1980,
655,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,06/09/1980,
656,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,09/09/1980,
657,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,14/09/1980,
658,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,17/09/1980,
659,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,07/10/1980,
660,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,12/11/1980,
661,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,15/11/1980,
662,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,15/11/1980,
663,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,29/11/1980,
664,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,17/12/1980,
665,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,10/01/1981,
666,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,28/01/1981,
667,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,29/01/1981,
668,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,11/06/1981,
669,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/06/1981,
670,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,01/07/1981,
671,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,08/07/1981,
672,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,13/07/1981,
673,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,19/12/1981,
674,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/01/1982,
675,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,27/01/1982,
676,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,08/04/1982,
677,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,01/08/1982,
678,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,05/08/1982,
679,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,08/08/1982,
680,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,28/08/1982,
681,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,08/10/1982,
682,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,02/11/1982,
683,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,19/11/1982,
684,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,28/02/1983,
685,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,01/03/1983,
686,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,15/03/1983,
687,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,22/04/1983,
688,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,03/05/1983,
689,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,14/05/1983,
690,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,04/06/1983,
691,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,11/07/1983,
692,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,24/08/1983,
693,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,09/01/1984,
694,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,28/02/1984,
695,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,02/04/1984,
696,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,25/04/1984,
697,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,20/07/1984,
698,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,05/09/1984,
699,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,10/10/1984,
700,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,06/11/1984,
701,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,16/12/1984,
702,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,18/12/1984,
703,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,20/03/1985,
704,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,07/05/1985,
705,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,21/05/1985,
706,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,09/07/1985,
707,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,24/09/1985,
708,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,12/10/1985,
709,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,16/11/1985,
710,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,21/11/1985,
711,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,26/11/1985,
712,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,10/12/1985,
713,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,12/01/1986,
714,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,22/01/1986,
715,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,04/02/1986,
716,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,02/03/1986,
717,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,04/03/1986,
718,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,15/03/1986,
719,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,16/03/1986,
720,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,10/04/1986,
721,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,13/04/1986,
722,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,06/05/1986,
723,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,21/06/1986,
724,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,21/06/1986,
725,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,24/06/1986,
726,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,06/07/1986,
727,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,19/09/1986,
728,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,25/11/1986,
729,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,04/01/1987,
730,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,15/01/1987,
731,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,14/03/1987,
732,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,22/03/1987,
733,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,09/04/1987,
734,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,01/05/1987,
735,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,21/05/1987,
736,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,25/05/1987,
737,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,07/06/1987,
738,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,19/06/1987,
739,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,19/06/1987,
740,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,01/08/1987,
741,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,20/08/1987,
742,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,18/09/1987,
743,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,26/09/1987,
744,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,05/10/1987,
745,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,15/10/1987,
746,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,21/10/1987,
747,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,17/11/1987,
748,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,31/01/1988,
749,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,06/02/1988,
750,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,29/03/1988,
751,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,25/04/1988,
752,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,07/05/1988,
753,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,17/07/1988,
754,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,20/07/1988,
755,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,23/08/1988,
756,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,11/09/1988,
757,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,22/09/1988,
758,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,25/09/1988,
759,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,11/10/1988,
760,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,06/12/1988,
761,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,07/12/1988,
762,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,22/02/1989,
763,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,25/04/1989,
764,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,26/04/1989,
765,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,24/05/1989,
766,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,29/05/1989,
767,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,22/06/1989,
768,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,13/07/1989,
769,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,31/07/1989,
770,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,05/08/1989,
771,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,01/09/1989,
772,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,02/10/1989,
773,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,14/10/1989,
774,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,05/12/1989,
775,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,20/12/1989,
776,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,22/01/1990,
777,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,02/02/1990,
778,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,03/05/1990,
779,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,15/05/1990,
780,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,31/05/1990,
781,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,21/11/1990,
782,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,09/01/1991,
783,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,22/01/1991,
784,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,02/02/1991,
785,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,22/02/1991,
786,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,26/02/1991,
787,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,15/03/1991,
788,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,18/05/1991,
789,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,20/05/1991,
790,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,26/05/1991,
791,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,03/06/1991,
792,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,19/09/1991,
793,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,26/11/1991,
794,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,06/02/1992,
795,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,13/04/1992,
796,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,01/05/1992,
797,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,28/06/1992,
798,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,10/09/1992,
799,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,20/12/1992,
800,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,06/01/1993,
801,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,19/01/1993,
802,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,07/02/1993,
803,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,11/04/1993,
