Id,Title,Author,Genre,Purchase,Member
528,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/10/2011,
529,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,24/10/2011,
530,The Lord of the Rings,J.R.R. Tolkien,Classics;Fantasy;Fiction,31/10/2011,
531,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,01/12/2011,
532,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,14/12/2011,
533,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,31/12/2011,
534,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,05/01/2012,
535,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,06/01/2012,
536,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,10/01/2012,
537,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,14/01/2012,
538,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,14/01/2012,
539,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,20/01/2012,
540,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,16/02/2012,
541,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,24/02/2012,
542,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,05/03/2012,
543,It,Stephen King,Fantasy;Fiction;Horror,13/03/2012,
544,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,20/03/2012,
545,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,28/03/2012,CHUA
546,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,14/04/2012,
547,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,15/04/2012,
548,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,17/04/2012,
549,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,20/04/2012,
550,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,21/04/2012,
551,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,25/04/2012,
552,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,05/05/2012,
553,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,07/05/2012,
554,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,16/05/2012,
555,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,20/05/2012,
556,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,28/05/2012,
557,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,15/07/2012,
558,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,30/07/2012,ENQV
559,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,20/08/2012,
560,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,03/09/2012,ENHQ
561,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,06/09/2012,
562,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,13/09/2012,
563,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,23/09/2012,
564,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,29/09/2012,
565,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,01/10/2012,
566,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,08/10/2012,CORF
567,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/10/2012,
568,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,09/11/2012,
569,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,12/11/2012,
570,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,17/11/2012,
571,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,19/11/2012,
572,The Lord of the Rings,J.R.R. Tolkien,Classics;Fantasy;Fiction,21/11/2012,
573,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,22/11/2012,
574,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,27/11/2012,
575,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,04/12/2012,
576,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,12/12/2012,
577,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,14/12/2012,
578,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,20/12/2012,
579,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,17/01/2013,
580,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,19/01/2013,
581,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,21/01/2013,
582,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,02/02/2013,
583,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,06/02/2013,
584,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,12/02/2013,
585,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,12/02/2013,
586,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,15/02/2013,
587,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,18/02/2013,SSNA
588,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,08/03/2013,
589,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,11/03/2013,
590,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,17/03/2013,
591,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,28/03/2013,
592,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,29/03/2013,
593,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,31/03/2013,
594,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,03/04/2013,
595,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,12/04/2013,
596,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,16/04/2013,PHQP
597,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,16/04/2013,
598,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,20/04/2013,
599,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,20/04/2013,
600,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,26/04/2013,
601,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,27/04/2013,
602,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,29/04/2013,
603,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/05/2013,ENUE
604,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,19/05/2013,
605,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,19/05/2013,
606,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,28/05/2013,
607,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,26/06/2013,
608,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,27/06/2013,
609,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,01/07/2013,
610,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,25/07/2013,
611,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,05/08/2013,
612,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,08/08/2013,
613,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,13/08/2013,
614,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,17/08/2013,
615,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,22/08/2013,
616,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,23/08/2013,
617,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,25/08/2013,
618,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,06/09/2013,
619,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,07/09/2013,
620,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,27/09/2013,
621,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,15/10/2013,
622,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,21/10/2013,
623,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,28/10/2013,
624,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,28/10/2013,
625,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,01/11/2013,
626,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,01/11/2013,
627,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,04/11/2013,
628,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,30/11/2013,
629,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,05/12/2013,
630,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,10/12/2013,
631,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,11/12/2013,CHBZ
632,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,18/12/2013,
633,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,19/12/2013,
634,The Lord of the Rings,J.R.R. Tolkien,Classics;Fantasy;Fiction,29/12/2013,
635,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,16/01/2014,
636,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,17/01/2014,
637,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,02/02/2014,
638,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,07/02/2014,
639,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,13/02/2014,
640,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,15/02/2014,
641,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,27/02/2014,
642,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,10/03/2014,
643,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,16/03/2014,SSXO
644,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,16/03/2014,
645,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,28/03/2014,
646,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,06/04/2014,
647,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,15/05/2014,
648,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,25/05/2014,CHSA
649,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,28/05/2014,
650,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,29/05/2014,
651,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,02/06/2014,
652,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,08/06/2014,
653,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,08/06/2014,
654,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,12/06/2014,
655,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,30/06/2014,
656,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,06/08/2014,GEJG
657,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,22/08/2014,FAGC
658,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,24/08/2014,BIHX
659,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,08/09/2014,
660,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,08/09/2014,
661,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,14/09/2014,
662,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,18/09/2014,
663,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,20/09/2014,
664,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,04/10/2014,
665,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,15/10/2014,
666,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,17/10/2014,
667,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,04/11/2014,
668,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,08/11/2014,
669,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,14/11/2014,
670,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,16/11/2014,
671,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,22/11/2014,
672,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,28/11/2014,
673,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,30/11/2014,
674,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,07/12/2014,
675,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,12/12/2014,FAZJ
676,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,14/12/2014,
677,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,17/12/2014,
678,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,25/12/2014,
679,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,27/01/2015,
680,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,03/02/2015,
681,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,19/02/2015,
682,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,22/02/2015,
683,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,27/02/2015,
684,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,10/03/2015,
685,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,20/03/2015,
686,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/03/2015,
687,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,28/03/2015,
688,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,05/04/2015,COYX
689,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,09/04/2015,
690,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,19/04/2015,
691,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,09/05/2015,
692,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,21/05/2015,
693,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,18/06/2015,
694,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,19/06/2015,
695,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,04/07/2015,
696,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,12/07/2015,
697,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,13/07/2015,CHVE
698,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,14/07/2015,
699,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,14/07/2015,
700,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,26/07/2015,
701,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,01/08/2015,
702,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,12/08/2015,
703,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,17/08/2015,
704,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,22/08/2015,BISI
705,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,29/08/2015,BIWZ
706,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,29/08/2015,
707,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,03/09/2015,
708,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,04/09/2015,
709,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,06/09/2015,
710,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,09/09/2015,
711,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,16/09/2015,
712,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,17/09/2015,
713,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,22/09/2015,
714,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,28/09/2015,
715,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,04/10/2015,
716,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,16/10/2015,
717,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,20/10/2015,CORF
718,It,Stephen King,Fantasy;Fiction;Horror,25/10/2015,
719,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,15/11/2015,
720,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,19/11/2015,
721,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,27/11/2015,
722,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,29/11/2015,
723,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,23/12/2015,CHVR
724,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,18/01/2016,
725,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,26/01/2016,CHBZ
726,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,10/02/2016,
727,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,14/02/2016,FAOU
728,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,16/02/2016,
729,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,20/02/2016,
730,It,Stephen King,Fantasy;Fiction;Horror,03/03/2016,
731,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,06/03/2016,
732,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,10/03/2016,
733,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,10/03/2016,
734,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,18/03/2016,
735,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,19/03/2016,
736,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,26/03/2016,
737,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,12/04/2016,
738,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,23/04/2016,CHQK
739,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,24/04/2016,
740,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,27/04/2016,ENQJ
741,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,07/05/2016,
742,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,07/05/2016,
743,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,11/05/2016,
744,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,07/06/2016,
745,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,08/06/2016,
746,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,12/06/2016,
747,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,16/06/2016,
748,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,22/06/2016,
749,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,24/06/2016,
750,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,06/07/2016,
751,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,08/07/2016,
752,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,12/07/2016,
753,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,14/07/2016,
754,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,08/08/2016,
755,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,08/08/2016,
756,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,21/08/2016,
757,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,03/09/2016,
758,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,16/09/2016,CHAZ
759,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,21/09/2016,
760,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,28/09/2016,
761,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,14/10/2016,
762,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,23/10/2016,
763,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,27/10/2016,
764,It,Stephen King,Fantasy;Fiction;Horror,15/11/2016,
765,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,23/11/2016,
766,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,30/11/2016,
767,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,30/11/2016,
768,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,13/12/2016,
769,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,18/12/2016,
770,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,19/12/2016,
771,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,29/12/2016,
772,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,04/01/2017,BIWZ
773,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,06/01/2017,
774,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,06/01/2017,
775,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,06/01/2017,
776,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,07/01/2017,
777,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,16/01/2017,
778,It,Stephen King,Fantasy;Fiction;Horror,23/01/2017,
779,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,06/02/2017,COVN
780,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,09/02/2017,
781,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,15/02/2017,
782,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,18/02/2017,
783,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,24/02/2017,
784,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,13/03/2017,
785,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,16/03/2017,
786,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,16/03/2017,
787,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,22/03/2017,
788,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,09/04/2017,
789,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,11/04/2017,
790,It,Stephen King,Fantasy;Fiction;Horror,21/04/2017,
791,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,08/05/2017,CHBZ
792,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,17/05/2017,
793,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,26/05/2017,
794,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,04/06/2017,FAFN
795,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,23/06/2017,MALW
